,acq_time_hours,orbit,year,satellite
S1A_IW_GRDH_1SDV_20190103T171605_20190103T171634_025316_02CD11,17.268055555555556,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190103T171634_20190103T171659_025316_02CD11,17.27611111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190105T165935_20190105T170004_025345_02CE25,16.993055555555557,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190105T170004_20190105T170029_025345_02CE25,17.00111111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190115T171605_20190115T171634_025491_02D362,17.268055555555556,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190115T171634_20190115T171659_025491_02D362,17.27611111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190117T165935_20190117T170004_025520_02D475,16.993055555555557,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190117T170004_20190117T170029_025520_02D475,17.00111111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190127T171605_20190127T171634_025666_02D9CD,17.268055555555556,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190127T171634_20190127T171659_025666_02D9CD,17.27611111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190129T165935_20190129T170004_025695_02DADF,16.993055555555557,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190129T170004_20190129T170029_025695_02DADF,17.00111111111111,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190208T171604_20190208T171633_025841_02E014,17.267777777777777,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190208T171633_20190208T171658_025841_02E014,17.27583333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190210T165934_20190210T170003_025870_02E12A,16.99277777777778,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190210T170003_20190210T170028_025870_02E12A,17.000833333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190220T171604_20190220T171633_026016_02E64E,17.267777777777777,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190220T171633_20190220T171658_026016_02E64E,17.27583333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190222T165934_20190222T170003_026045_02E75D,16.99277777777778,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190222T170003_20190222T170028_026045_02E75D,17.000833333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190304T171604_20190304T171633_026191_02EC99,17.267777777777777,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190304T171633_20190304T171658_026191_02EC99,17.27583333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190306T165934_20190306T170003_026220_02ED9F,16.99277777777778,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190306T170003_20190306T170028_026220_02ED9F,17.000833333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190316T171604_20190316T171633_026366_02F305,17.267777777777777,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190316T171633_20190316T171658_026366_02F305,17.27583333333333,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190318T165934_20190318T170003_026395_02F418,16.99277777777778,DESCENDING,2019,S1A
S1A_IW_GRDH_1SDV_20190318T170003_20190318T170028_026395_02F418,17.000833333333333,DESCENDING,2019,S1A
